Clean Tweets,Sentiments
selamat anies sandi unggul hitung cepat,positive
pilih peci jakarta,positive
moga bukti jakarta milik pesta demokrasi baik indonesia,positive
lantun shalawat iring sandiaga keluarga,positive
orang tiga menteng,positive
sandi minimal,positive
ornamen betawi hias anies,positive
asli suku pilih pimpin muslim pimpin jakarta allahuakbar,positive
upaya buruh jakarta,positive
neng lihat expresinya,positive
unggul raih,positive
manfaat loyalis gubernur,positive
anies larang warga buka medsos nama rekonsiliasi,positive
janji anies apbd,positive
karang bunga tanding dukung lucu,positive
harap perhati olahraga jakarta,positive
ikhtiar sungguh kembali hadir adil,positive
gulir rumah orang bicara rumah kuat gagas pimpin,positive
janji kampanye bidang,positive
sahabat kerja nyata jakarta,positive
orang jakarta,positive
karang bunga mati welcome,positive
anies pasti tutup hotel alexis malioboro,positive
dampak menang gera,positive
kalah,positive
warga jakarta payung sapa program,positive
putar,positive
terima kasih warga jakarta pilih warga kebayoran kawal amanah ummat,positive
selamat amanah maju kota bahagia warga,positive
pasang pasang ideal dinamika kota,positive
situs anti hoax,positive
fakta pilih sbaliknya pmilih,positive
saksi live rajut jakarta bang anies bang,positive
rindu capai klimaks sosok gubernur jakarta cinta persija chant gema stadion,positive
nunggu hasil resmi kawal rangkul,positive
silaturahmi media ikut giat kampanye terima kasih salam,positive
pasti ucap paham nenek ucap prilaku,positive
laku umkm undang posko moga usaha sukses,positive
hati,positive
rumah pemprov subsidi juta unit,positive
menang menang warga umat islam juang tuntut adil hukum,positive
teman ahok ahok,positive
menang putar menang kelompok menang warga rakyat,positive
moga lebur rawan rawan jakarta,positive
sandiaga,positive
transisi usul program masuk,positive
sesal nyoblos kemarin,positive
terap open government good governance triple pasword apbd bantu realisasi,positive
wakil timses pantau coblos ulang gambir,positive
syukur allah orang cerdas pandai bukti menang telak,positive
ahoker kalo tuju gimana,positive
tuduh dukung ekstrimis momen gagal,positive
komitmen kota jakarta bhineka,positive
biar dukung kritisi,positive
terima kasih rawan pilih,positive
satu warga jakarta belah,positive
menang sungguh adil hukum adil sosial timpang rasa,positive
pimpin jakarta jakarta jakarta,positive
siiiip bantu kawal realisasi smua,positive
pimpin rangkul smua beda antargolongan,positive
polda objektif selidik sandiaga,positive
persija stadion rumput,positive
kompas sandiaga,positive
percaya usaha terus emban amanat jakarta,positive
dasar exitpoll litbang mayoritas pilih pilih pasang,positive
maju sejuk satu maju jakarta,positive
mari keras emban,positive
syukur menang rakyat jakarta,positive
ngawur pihak usaha beda ahok kembang,positive
saran wujud program dana butuh tuju dprd cegah korupsi,positive
tuju banget bawa jakarta,positive
saran reklamasi batal bicara perintah pusat,positive
jeda sandiaga turun panggung debat peluk erat nelayan bang,positive
jelang suara ahok tinggal anies,positive
sandiaga gaji kaum dhuafa,positive
bismillah moga gubernur,positive
karunia gubernur wagub adil tulus abdi maslahat amin,positive
sesuai hati nurani,positive
selamat hasil,positive
ramai pilkada potong nenen jago ngeles selamat,positive
moga janji gubernur penuh,positive
jakarta milik terima kasih,positive
pilih,positive
anies pasrah hasil pilkada,positive
allahuakbar,positive
beda suara,positive
menang pilkada kerja keras,positive
doain daerah kritik syukur menang pilkada,positive
feeling menang pasang,positive
umum hasil pilkada karang bunga ngaruh,positive
hasil rekapituasi manual pilkada menang,positive
alesha milih salam jari,positive
jakarta,positive
hahaha adjrot adjrot habis akal kalah kandidat favorit,positive
insya allah luka hati umat jabat,positive
sayang acara keren,positive
anies gubernur gubernur kembang,positive
ahok najwa bener bener mati kutu bingung tuding ringan,positive
hallo bang asyik habis manggung,positive
nongkrong datang timses paslon,positive
anies maju jalan ridhoi allah,positive
gubernur pilih anies,positive
coba terap,positive
lupa yaaa,positive
brgabung dukung usaha pimpin yusuf mansyur,positive
wiiih aqua pilih,positive
kayak nggak fokus insyaalloh,positive
jaring hadir okeoce mart,positive
pilih tanggal april,positive
kali rspun selfie,positive
rangkul orang batas usia kelamin,positive
jago bidang digital,positive
